taxamount,lotsizesquarefeet,yearbuilt,fips,taxvaluedollarcnt,calculatedfinishedsquarefeet,bathroomcnt,bedroomcnt,propertylandusetypeid,transactiondate
4464.42,7205.0,1978.0,6111.0,418763.0,1772.0,2.0,3.0,261.0,2017-08-04
5515.94,21689.0,1981.0,6111.0,478430.0,1819.0,2.0,3.0,261.0,2017-07-21
212.46,,2002.0,6111.0,27400.0,1000.0,0.0,0.0,263.0,2017-06-23
2287.55,16012.0,1933.0,6037.0,171687.0,1503.0,2.0,2.0,261.0,2017-07-28
6089.82,6211.0,1950.0,6037.0,498347.0,1604.0,2.0,4.0,261.0,2017-06-30
6679.55,9109.0,1937.0,6037.0,549917.0,2384.0,3.0,3.0,261.0,2017-06-01
9425.82,13009.0,1964.0,6037.0,760000.0,2821.0,3.0,6.0,261.0,2017-08-23
3876.31,7538.0,1990.0,6037.0,235272.0,1574.0,2.0,3.0,261.0,2017-06-01
4206.15,111564.0,1983.0,6037.0,340000.0,1619.0,2.0,2.0,261.0,2017-06-29
3421.08,5000.0,1951.0,6037.0,249830.0,756.0,1.0,2.0,261.0,2017-08-23
24353.42,10497.0,1952.0,6037.0,2017254.0,2408.0,3.0,2.0,261.0,2017-06-27
43801.77,18051.0,1940.0,6037.0,3634725.0,4399.0,5.0,5.0,261.0,2017-07-14
75862.41,72049.0,,6037.0,5240710.0,,0.0,0.0,261.0,2017-05-16
6861.51,5438.0,1952.0,6037.0,629951.0,1721.0,2.0,4.0,261.0,2017-05-19
1341.73,8738.0,1925.0,6037.0,85087.0,1800.0,1.0,3.0,261.0,2017-08-18
5488.23,6179.0,1942.0,6037.0,305481.0,1136.0,1.0,3.0,261.0,2017-05-01
1498.86,4959.0,1923.0,6037.0,79930.0,1088.0,1.0,2.0,261.0,2017-05-18
3473.87,5192.0,1928.0,6037.0,260000.0,914.0,1.0,2.0,261.0,2017-05-17
4592.94,8373.0,1948.0,6037.0,380730.0,1268.0,1.0,2.0,261.0,2017-08-21
1048.54,6024.0,1958.0,6037.0,66220.0,1263.0,2.0,3.0,261.0,2017-06-02
6674.59,6388.0,1954.0,6037.0,331065.0,2292.0,3.0,4.0,261.0,2017-07-13
7072.55,6067.0,1953.0,6037.0,595000.0,1330.0,1.0,3.0,261.0,2017-06-29
3839.92,5631.0,1955.0,6037.0,275061.0,1017.0,1.0,3.0,261.0,2017-05-31
3433.84,5795.0,1952.0,6037.0,285180.0,850.0,1.0,2.0,261.0,2017-06-19
4253.29,5111.0,1950.0,6037.0,310760.0,1078.0,1.0,3.0,261.0,2017-08-11
916.49,3975.0,1954.0,6037.0,49719.0,920.0,1.0,2.0,261.0,2017-06-30
597.84,5987.0,1955.0,6037.0,33196.0,1202.0,2.0,4.0,261.0,2017-05-31
641.42,5339.0,1947.0,6037.0,25210.0,754.0,1.0,1.0,261.0,2017-07-31
745.6,6911.0,1955.0,6037.0,35319.0,1032.0,2.0,3.0,261.0,2017-08-01
5822.9,7254.0,1962.0,6059.0,479778.0,1444.0,2.0,4.0,261.0,2017-05-22
872.48,1800.0,1973.0,6059.0,50102.0,949.0,2.0,2.0,261.0,2017-06-01
1767.64,5704.0,1967.0,6059.0,136438.0,1865.0,2.0,3.0,261.0,2017-08-25
2953.1,4000.0,1986.0,6059.0,290614.0,1090.0,2.0,2.0,261.0,2017-06-16
6358.84,4260.0,1999.0,6059.0,626388.0,2591.0,4.0,3.0,261.0,2017-08-22
9740.22,5109.0,2006.0,6059.0,829744.0,2505.0,3.0,4.0,261.0,2017-06-16
14064.68,41382.0,1983.0,6111.0,1222271.0,3715.0,3.0,3.0,261.0,2017-07-13
1489.06,2904.0,1985.0,6111.0,126974.0,912.0,1.0,2.0,261.0,2017-06-30
3479.18,24127.0,1984.0,6111.0,315148.0,1595.0,2.0,3.0,261.0,2017-08-22
9597.7,11784.0,1993.0,6111.0,859354.0,3404.0,4.0,5.0,261.0,2017-07-25
5598.08,7948.0,1976.0,6111.0,523014.0,1837.0,2.0,4.0,261.0,2017-08-30
10059.43,15586.0,1957.0,6037.0,815502.0,3094.0,4.0,5.0,261.0,2017-08-23
16345.17,11758.0,1988.0,6037.0,1335281.0,6014.0,5.0,6.0,261.0,2017-06-15
6987.78,7282.0,1951.0,6037.0,570000.0,2444.0,3.0,6.0,261.0,2017-06-20
2802.27,6098.0,1958.0,6037.0,224273.0,1748.0,3.0,4.0,261.0,2017-07-10
3458.27,6750.0,1939.0,6037.0,312191.0,1666.0,2.0,3.0,261.0,2017-07-21
10359.96,17340.0,1964.0,6037.0,849137.0,3920.0,5.0,3.0,261.0,2017-08-29
4890.07,7798.0,1955.0,6037.0,405083.0,1169.0,2.0,3.0,261.0,2017-06-29
